                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.84277,                0.99119,                  1.173,                0.35751,                0.46667,                0.37109,                0.26318,                0.95706,                 1.6567,                 1.3291,              0.0006536,              0.0006536,              0.0006536
                     36,                0.74114,                0.97788,                 1.0681,                0.38961,                0.47092,                0.39849,                0.27908,                0.97049,                 1.6651,                 1.3304,               0.000614,               0.000614,               0.000614
                     37,                0.77554,                0.99876,                 1.0925,                0.45005,                0.52222,                0.43266,                0.31285,                0.92749,                 1.5578,                 1.2999,              0.0005744,              0.0005744,              0.0005744
                     38,                0.74914,                 1.5359,                 1.0984,                0.47063,                 0.4465,                0.41933,                0.29389,                0.97047,                 1.6299,                 1.3421,              0.0005348,              0.0005348,              0.0005348
                     39,                0.71032,                0.93672,                  1.077,                0.45946,                0.46466,                0.42469,                0.29371,                0.94179,                 1.6246,                 1.3078,              0.0004952,              0.0004952,              0.0004952
                     40,                0.73713,                0.99065,                 1.0842,                0.47498,                0.45435,                0.44393,                0.30675,                0.91445,                 1.5806,                 1.3048,              0.0004556,              0.0004556,              0.0004556
                     41,                0.65561,                 1.0009,                 1.0564,                0.43706,                0.44889,                0.41403,                0.29142,                0.90864,                  1.619,                 1.3115,               0.000416,               0.000416,               0.000416
                     42,                0.71088,                  1.064,                 1.0921,                0.49583,                0.45457,                 0.4247,                0.29746,                0.93771,                 1.5973,                  1.329,              0.0003764,              0.0003764,              0.0003764
                     43,                0.68107,                0.92914,                 1.0794,                0.43628,                0.53778,                0.44168,                0.31477,                0.92991,                 1.5377,                 1.3051,              0.0003368,              0.0003368,              0.0003368
                     44,                0.61861,                0.88918,                 1.0445,                0.42892,                0.53333,                0.44059,                0.31253,                0.90864,                 1.5815,                 1.3065,              0.0002972,              0.0002972,              0.0002972
                     45,                0.60281,                0.84207,                 1.0238,                 0.4095,                0.44889,                0.39718,                0.26966,                0.92536,                 1.7197,                 1.3249,              0.0002576,              0.0002576,              0.0002576
                     46,                0.61717,                0.87087,                 1.0327,                0.44688,                0.46889,                0.43543,                0.30462,                0.91057,                 1.6025,                 1.3046,               0.000218,               0.000218,               0.000218
                     47,                 0.6192,                0.83278,                 1.0352,                0.46571,                0.49111,                0.45969,                0.32186,                 0.8952,                 1.5419,                 1.2865,              0.0001784,              0.0001784,              0.0001784
                     48,                0.61748,                 0.8892,                 1.0516,                0.44931,                0.51556,                0.46249,                0.32709,                0.90502,                 1.5358,                 1.2949,              0.0001388,              0.0001388,              0.0001388
                     49,                0.58429,                0.74583,                 1.0045,                0.44076,                0.49333,                0.45141,                0.31519,                0.90934,                 1.5805,                 1.2968,               9.92e-05,               9.92e-05,               9.92e-05
                     50,                0.60272,                0.78598,                 1.0062,                0.41909,                0.50889,                0.44925,                0.31289,                0.91629,                  1.589,                 1.3043,               5.96e-05,               5.96e-05,               5.96e-05
